Sex1,Date,YEAR,side,Location,ID,QRATE,Date1,Date2,Month,Month1
UNK,1989-07-24,1989,Right,Gully,32,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,34,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,33,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-25,1989,Left,Gully,37,3,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,37,3,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,37,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,39,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,40,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,39,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,25,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,25,4,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Right,Gully,39,3,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Right,Gully,37,3,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,37,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,40,3,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,37,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,25,3,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,37,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,25,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Right,Gully,39,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Right,Gully,41,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,25,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,25,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,25,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,40,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Right,Gully,5,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Right,Gully,5,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Right,Gully,5,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Right,Gully,5,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Right,Gully,42,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,40,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,40,4,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,40,4,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,39,4,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,39,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Right,Gully,41,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,43,3,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,21,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,43,3,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,21,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,43,3,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,21,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,43,4,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,21,4,1989-07-25,1989-07-25,7,Jul
MM,1989-07-25,1989,Left,Gully,21,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-07-25,1989,Left,Gully,39,3,1989-07-25,1989-07-25,7,Jul
UNK,1989-08-03,1989,Right,Gully,31,4,1989-08-03,1989-08-03,8,Aug
Male,1989-08-03,1989,Right,Gully,45,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,46,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Right,Gully,47,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Left,Gully,49,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Left,Gully,47,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Right,Gully,47,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Right,Gully,47,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,50,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,50,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Right,Gully,47,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,52,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Right,Gully,47,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Right,Gully,47,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Left,Gully,47,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Right,Gully,51,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Right,Gully,51,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Right,Gully,51,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,52,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,50,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,46,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Left,Gully,26,3,1989-08-03,1989-08-03,8,Aug
Female,1989-08-03,1989,Right,Gully,54,3,1989-08-03,1989-08-03,8,Aug
Female,1989-08-03,1989,Right,Gully,54,4,1989-08-03,1989-08-03,8,Aug
Female,1989-08-03,1989,Left,Gully,54,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Left,Gully,32,4,1989-08-03,1989-08-03,8,Aug
MM,1989-08-03,1989,Left,Gully,1,3,1989-08-03,1989-08-03,8,Aug
MM,1989-08-03,1989,Left,Gully,1,3,1989-08-03,1989-08-03,8,Aug
Female,1989-08-03,1989,Left,Gully,54,4,1989-08-03,1989-08-03,8,Aug
Female,1989-08-03,1989,Left,Gully,54,3,1989-08-03,1989-08-03,8,Aug
Female,1989-08-03,1989,Right,Gully,54,3,1989-08-03,1989-08-03,8,Aug
Female,1989-08-03,1989,Right,Gully,54,3,1989-08-03,1989-08-03,8,Aug
Male,1989-08-03,1989,Right,Gully,3,3,1989-08-03,1989-08-03,8,Aug
Male,1989-08-03,1989,Right,Gully,3,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Left,Gully,9901,3,1989-08-03,1989-08-03,8,Aug
FJ,1989-08-03,1989,Left,Gully,9901,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,57,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,57,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-03,1989,Right,Gully,46,3,1989-08-03,1989-08-03,8,Aug
UNK,1989-08-04,1989,Right,Gully,5,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,5,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Left,Gully,61,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Left,Gully,62,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,66,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,67,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,67,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Left,Gully,62,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,67,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,67,4,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,90,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,63,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,67,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Left,Gully,69,3,1989-08-04,1989-08-04,8,Aug
MM,1989-08-04,1989,Left,Gully,18,3,1989-08-04,1989-08-04,8,Aug
MM,1989-08-04,1989,Left,Gully,18,3,1989-08-04,1989-08-04,8,Aug
MM,1989-08-04,1989,Left,Gully,18,3,1989-08-04,1989-08-04,8,Aug
MM,1989-08-04,1989,Left,Gully,18,3,1989-08-04,1989-08-04,8,Aug
MM,1989-08-04,1989,Right,Gully,74,3,1989-08-04,1989-08-04,8,Aug
MM,1989-08-04,1989,Right,Gully,74,3,1989-08-04,1989-08-04,8,Aug
MM,1989-08-04,1989,Right,Gully,74,3,1989-08-04,1989-08-04,8,Aug
MM,1989-08-04,1989,Right,Gully,74,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Left,Gully,61,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Left,Gully,61,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,75,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Right,Gully,61,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,46,3,1989-08-04,1989-08-04,8,Aug
Male,1989-08-04,1989,Right,Gully,76,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Right,Gully,61,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,46,3,1989-08-04,1989-08-04,8,Aug
Male,1989-08-04,1989,Right,Gully,76,3,1989-08-04,1989-08-04,8,Aug
Male,1989-08-04,1989,Right,Gully,76,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Left,Gully,61,3,1989-08-04,1989-08-04,8,Aug
Male,1989-08-04,1989,Right,Gully,76,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,63,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Right,Gully,61,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Right,Gully,47,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Left,Gully,61,3,1989-08-04,1989-08-04,8,Aug
Male,1989-08-04,1989,Right,Gully,76,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Right,Gully,61,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Left,Gully,78,4,1989-08-04,1989-08-04,8,Aug
Male,1989-08-04,1989,Left,Gully,76,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-04,1989,Left,Gully,47,3,1989-08-04,1989-08-04,8,Aug
Male,1989-08-04,1989,Right,Gully,76,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Left,Gully,83,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Left,Gully,83,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Left,Gully,83,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Left,Gully,83,3,1989-08-04,1989-08-04,8,Aug
UNK,1989-08-04,1989,Right,Gully,83,3,1989-08-04,1989-08-04,8,Aug
FJ,1989-08-09,1989,Left,Gully,89,3,1989-08-09,1989-08-09,8,Aug
MM,1989-08-09,1989,Left,Gully,28,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Left,Gully,89,3,1989-08-09,1989-08-09,8,Aug
MM,1989-08-09,1989,Left,Gully,28,3,1989-08-09,1989-08-09,8,Aug
MM,1989-08-09,1989,Left,Gully,28,3,1989-08-09,1989-08-09,8,Aug
MM,1989-08-09,1989,Left,Gully,28,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Right,Gully,89,3,1989-08-09,1989-08-09,8,Aug
MM,1989-08-09,1989,Left,Gully,28,3,1989-08-09,1989-08-09,8,Aug
MM,1989-08-09,1989,Left,Gully,28,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Left,Gully,89,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Left,Gully,89,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Left,Gully,89,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Left,Gully,89,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Right,Gully,89,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Right,Gully,89,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Right,Gully,89,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Left,Gully,89,3,1989-08-09,1989-08-09,8,Aug
FJ,1989-08-09,1989,Left,Gully,89,3,1989-08-09,1989-08-09,8,Aug
UNK,1989-08-09,1989,Right,Gully,91,3,1989-08-09,1989-08-09,8,Aug
UNK,1989-08-09,1989,Right,Gully,91,3,1989-08-09,1989-08-09,8,Aug
Male,1989-08-09,1989,Right,Gully,92,3,1989-08-09,1989-08-09,8,Aug
Male,1989-08-09,1989,Right,Gully,92,3,1989-08-09,1989-08-09,8,Aug
Male,1989-08-09,1989,Right,Gully,92,3,1989-08-09,1989-08-09,8,Aug
Male,1989-08-09,1989,Right,Gully,92,3,1989-08-09,1989-08-09,8,Aug
