Error type,Issue or photo,Number of photos affected,Current ID,New ID,Error Type,,,,,
1,NBWphotos_1996_AB75_06.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB76_09.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB78_02.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_10.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_11.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_12.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_13.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_14.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB9_03.jpg,1,1024,1023,FP/ Type I,,,,,
1,NBWphotos_1997_SA2_34.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA2_36.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA3_01.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA3_03.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA45_11.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA45_12.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA45_13.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA45_15.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA45_16.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA51_32.jpg,1,633,635,FP/ Type I,,,,,
1,NBWphotos_1997_SA51_34.jpg,1,633,635,FP/ Type I,,,,,
1,NBWphotos_1997_SA52_01.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA52_03.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA52_05.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA52_12.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA52_19.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA53_02.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA54_04.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA54_09.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA54_11.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA54_14.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA54_17.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA54_19.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA54_20.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1997_SA7_24.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA7_32.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA74_35.jpg,1,unk,1309,FP/ Type I,,,,,
1,NBWphotos_1997_SA8_08.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA8_10.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA8_24.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA8_28.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA87_16.jpg,1,961,56,FP/ Type I,,,,,
1,NBWphotos_1997_SA9_02.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA9_03.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA94_02.jpg,1,unk,1351,FP/ Type I,,,,,
1,NBWphotos_1998_GBW25_03.jpg,1,54,1313,FP/ Type I,,,,,
1,NBWphotos_1998_GBW25_04.jpg,1,45,54,FP/ Type I,,,,,
1,NBWphotos_1998_GBW74_19.jpg,1,824,118,FP/ Type I,,,,,
1,NBWphotos_1998_GBW92_04.jpg,1,57,518,FP/ Type I,,,,,
1,NBWphotos_1999_JA18_18.jpg,1,531,674,FP/ Type I,,,,,
1,NBWphotos_1999_JA18_23.jpg,1,531,674,FP/ Type I,,,,,
1,NBWphotos_1999_JA18_27.jpg,1,531,674,FP/ Type I,,,,,
1,NBWphotos_1999_JA24_02.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1999_JA24_06.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1999_JA24_07.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1999_JA24_30.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1999_JA25_19.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1999_JA25_22.jpg,1,399,9914,FP/ Type I,,,,,
1,NBWphotos_1999_JA33_35.jpg,1,unk,653,FP/ Type I,,,,,
1,NBWphotos_1999_JA43_13.jpg,1,1019,674,FP/ Type I,,,,,
1,NBWphotos_1999_JA48_01.jpg,1,37,1334,FP/ Type I,,,,,
1,NBWphotos_1999_JA48_02.jpg,1,1334,1040,FP/ Type I,,,,,
1,NBWphotos_1999_JA5_06.jpg,1,unk,9908,FP/ Type I,,,,,
1,NBWphotos_1999_JA5_09.jpg,1,unk,9908,FP/ Type I,,,,,
1,NBWphotos_1999_JA5_25.jpg,1,unk,9908,FP/ Type I,,,,,
1,NBWphotos_1999_JA51_10.jpg,1,824,413,FP/ Type I,,,,,
1,NBWphotos_1999_JA52_01.jpg,1,624,1157,FP/ Type I,,,,,
1,NBWphotos_1999_JA56_03.jpg,1,824,3,FP/ Type I,,,,,
1,NBWphotos_1999_JA64_02.jpg,1,832,1243,FP/ Type I,,,,,
1,NBWphotos_1999_JA64_03.jpg,1,1243,832,FP/ Type I,,,,,
1,NBWphotos_1999_JA70_05.jpg,1,131,480,FP/ Type I,,,,,
1,NBWphotos_1999_JA70_07.jpg,1,131,480,FP/ Type I,,,,,
1,NBWphotos_1999_JA71_27.jpg,1,961,9916,FP/ Type I,,,,,
1,NBWphotos_1999_JA71_33.jpg,1,961,9916,FP/ Type I,,,,,
1,NBWphotos_1999_JA72_06.jpg,1,961,9916,FP/ Type I,,,,,
1,NBWphotos_1999_JA79_07.jpg,1,251,76,FP/ Type I,,,,,
1,NBWphotos_1999_JA79_33.jpg,1,251,1336,FP/ Type I,,,,,
1,NBWphotos_1999_JA82_25.jpg,1,1643,1693,FP/ Type I,,,,,
1,NBWphotos_1999_JA85_01.jpg,1,1334,1040,FP/ Type I,,,,,
1,NBWphotos_1999_JA85_04.jpg,1,1334,1040,FP/ Type I,,,,,
1,NBWphotos_1999_JA85_06.jpg,1,1334,1040,FP/ Type I,,,,,
1,NBWphotos_2002_TW1_26.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_2002_TW1_27.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_2002_TW3_36.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_2002_TW30_08.jpg,1,127,2042,FP/ Type I,,,,,
1,NBWphotos_2002_TW36_10.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW37_10.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW37_16.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW37_27.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW37_31.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW38_03.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW38_05.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW38_07.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW38_16.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW38_17.jpg,1,2056,549,FP/ Type I,,,,,
1,NBWphotos_2002_TW43_15.jpg,1,1364,531,FP/ Type I,,,,,
1,NBWphotos_2002_TW43_17.jpg,1,1364,531,FP/ Type I,,,,,
1,NBWphotos_2002_TW50_06.jpg,1,2056,549,FP/ Type I,,,,,FP = 227
1,NBWphotos_2006_MPA10_05.jpg,1,824,120,FP/ Type I,,,,,
1,NBWphotos_2006_MPA20_29.jpg,1,56L,3047,FP/ Type I,,,,,
1,NBWphotos_2006_MPA23_05.jpg,1,3082,3087,FP/ Type I,,,,,
1,NBWphotos_2006_MPA23_15.jpg,1,3082,3087,FP/ Type I,,,,,
1,NBWphotos_2006_MPA33_31.jpg,1,531,4103,FP/ Type I,,,,,
1,NBWphotos_2006_MPA34_08.jpg,1,531,3012,FP/ Type I,,,,,
1,NBWphotos_2006_MPA35_03.jpg,1,251,531,FP/ Type I,,,,,
1,NBWphotos_2006_MPA35_04.jpg,1,531,3103,FP/ Type I,,,,,
1,NBWphotos_2006_MPA35_06.jpg,1,251,531,FP/ Type I,,,,,
1,photos from 1996+ wrongly matched,13,151,649,FP/ Type I,,,,,
2,duplicate ID ,63,1143,804,FN/ Type II,,,,,
2,dupicate ID,1,5164,5127,FN/ Type II,,,,,
2,dupicate ID,1,1617,1469,FN/ Type II,,,,,
2,duplicate ID,18,1073,1072,FN/ Type II,,,,,
2,duplicate ID,1,5072,5080,FN/ Type II,,,,,
2,duplicate ID,18,1748,1313,FN/ Type II,,,,,
2,duplicate ID,23,1243,952,FN/ Type II,,,,,
2,duplicate ID,3,3095,1313,FN/ Type II,,,,,
2,duplicate ID,3,2240,413,FN/ Type II,,,,,
2,duplicate ID,6,1992,413,FN/ Type II,,,,,
2,duplicate ID,2,2244,2107,FN/ Type II,,,,,
2,duplicate ID,4,3050,1904,FN/ Type II,,,,,
2,duplicate ID,25,2023,1779,FN/ Type II,,,,,
2,duplicate ID ,7,5164,5127,FN/ Type II,,,,,
2,duplicate ID (compile left and right sides),56,5054,4513,FN/ Type II,,,,,
2,duplicate ID,87,6204,2048,FN/ Type II,,,,,
2,duplicate ID,4,6157,5092,FN/ Type II,,,,,
2,duplicate ID,8,6456,6428,FN/ Type II,,,,,
2,duplicate ID,7,6424,6416,FN/ Type II,,,,,
