ID,ID.side,Sex,Sex1,YEAR1,YEARLAST,ANIMAL_YRS,N
1626,1626-RIGHT,UNK,UNK,1999,1999,0,1
1628,1628-LEFT,UNK,UNK,1999,1999,0,1
1628,1628-RIGHT,UNK,UNK,1999,1999,0,3
1630,1630-LEFT,UNK,UNK,1999,1999,0,4
1631,1631-LEFT,UNK,UNK,1999,1999,0,2
1632,1632-RIGHT,UNK,UNK,1999,1999,0,2
1633,1633-RIGHT,UNK,UNK,1999,1999,0,4
1634,1634-LEFT,UNK,UNK,1999,1999,0,3
1642,1642-LEFT,UNK,UNK,2001,2001,0,1
1645,1645-LEFT,UNK,UNK,1999,1999,0,5
1645,1645-RIGHT,UNK,UNK,1999,1999,0,3
1651,1651-LEFT,UNK,UNK,1999,1999,0,2
1651,1651-RIGHT,UNK,UNK,1999,1999,0,4
166,166-RIGHT,UNK,UNK,1990,1990,0,3
1662,1662-LEFT,UNK,UNK,1999,1999,0,2
1662,1662-RIGHT,UNK,UNK,1999,1999,0,3
1667,1667-LEFT,UNK,UNK,1999,1999,0,3
1672,1672-RIGHT,UNK,UNK,1999,1999,0,2
1674,1674-RIGHT,UNK,UNK,1999,1999,0,1
1676,1676-LEFT,MaleM,UNK,1999,2013,14,10
1677,1677-LEFT,UNK,UNK,1999,1999,0,3
168,168-LEFT,UNK,UNK,1989,1989,0,2
1687,1687-RIGHT,UNK,UNK,1999,1999,0,1
1692,1692-RIGHT,MaleM,UNK,1999,1999,0,2
1693,1693-RIGHT,MaleM,UNK,1999,1999,0,3
1695,1695-RIGHT,UNK,UNK,1999,1999,0,1
1696,1696-LEFT,MaleM,UNK,1999,1999,0,2
1697,1697-LEFT,UNK,UNK,1999,1999,0,1
17,17-LEFT,UNK,UNK,1989,2002,13,13
17,17-RIGHT,UNK,UNK,1989,2002,13,10
170,170-LEFT,UNK,UNK,1997,2011,14,10
170,170-RIGHT,UNK,UNK,1998,2011,13,9
1707,1707-RIGHT,UNK,UNK,2001,2001,0,1
1715,1715-RIGHT,UNK,UNK,2001,2001,0,2
1716,1716-LEFT,UNK,UNK,2001,2001,0,2
1720,1720-LEFT,UNK,UNK,2001,2001,0,1
1721,1721-LEFT,UNK,UNK,2001,2001,0,1
1723,1723-LEFT,UNK,UNK,2001,2001,0,3
1723,1723-RIGHT,UNK,UNK,2001,2001,0,3
1730,1730-RIGHT,UNK,UNK,2001,2001,0,1
1735,1735-RIGHT,UNK,UNK,2001,2001,0,2
1737,1737-LEFT,UNK,UNK,2001,2001,0,2
1739,1739-LEFT,MaleM,Male,2001,2017,16,22
1739,1739-RIGHT,MaleM,Male,2001,2017,16,18
174,174-LEFT,UNK,UNK,1989,1989,0,2
174,174-RIGHT,UNK,UNK,1989,1989,0,1
1744,1744-RIGHT,UNK,UNK,2001,2001,0,2
1747,1747-LEFT,UNK,UNK,2006,2007,1,9
1747,1747-RIGHT,UNK,UNK,2006,2010,4,9
1749,1749-RIGHT,UNK,UNK,2001,2001,0,1
1750,1750-RIGHT,UNK,UNK,2001,2001,0,1
1752,1752-LEFT,UNK,UNK,2001,2001,0,2
1752,1752-RIGHT,UNK,UNK,2001,2001,0,4
1753,1753-LEFT,UNK,UNK,2001,2001,0,3
1753,1753-RIGHT,UNK,UNK,2001,2001,0,4
1755,1755-LEFT,UNK,UNK,2001,2001,0,1
1756,1756-RIGHT,UNK,UNK,2001,2001,0,3
1757,1757-LEFT,UNK,UNK,2001,2016,15,21
1757,1757-RIGHT,UNK,UNK,2001,2016,15,20
1759,1759-LEFT,UNK,UNK,2001,2001,0,1
176,176-LEFT,UNK,UNK,1989,1989,0,1
1764,1764-LEFT,UNK,UNK,2001,2001,0,1
1765,1765-RIGHT,UNK,UNK,2001,2001,0,1
1771,1771-RIGHT,UNK,UNK,2001,2001,0,2
1772,1772-RIGHT,UNK,UNK,2001,2001,0,1
1774,1774-LEFT,UNK,UNK,2001,2001,0,1
1777,1777-RIGHT,UNK,UNK,2001,2001,0,1
1779,1779-LEFT,MaleM,UNK,2002,2011,9,9
1779,1779-RIGHT,MaleM,UNK,2001,2010,9,9
178,178-RIGHT,UNK,UNK,1989,1989,0,1
1791,1791-LEFT,UNK,UNK,2001,2001,0,1
1791,1791-RIGHT,UNK,UNK,2001,2001,0,1
1796,1796-LEFT,UNK,UNK,2001,2001,0,2
18,18-LEFT,MaleM,UNK,1989,1997,8,13
18,18-RIGHT,MaleM,UNK,1990,1997,7,10
1803,1803-LEFT,UNK,UNK,2001,2001,0,1
1804,1804-LEFT,UNK,UNK,2001,2001,0,1
1818,1818-RIGHT,UNK,UNK,2001,2001,0,3
1825,1825-RIGHT,UNK,UNK,2001,2001,0,2
1829,1829-LEFT,MaleM,UNK,2002,2017,15,8
1829,1829-RIGHT,MaleM,UNK,2001,2017,16,12
183,183-LEFT,UNK,UNK,1989,1996,7,7
