"ID","side","Sex","Year_rel","count"
"208","Right","MaleM",NA,7
"2081","Right","UNK",NA,1
"2089","Right","UNK",NA,7
"2090","Right","MaleM",NA,9
"2096","Left","UNK",2002,2
"2097","Left","UNK",2002,1
"21","Left","MaleM",1989,12
"21","Right","MaleM",1989,3
"2101","Left","UNK",2002,3
"2102","Left","MaleM",1999,38
"2102","Right","MaleM",1999,15
"2103","Left","UNK",NA,2
"2104","Left","UNK",NA,2
"2106","Right","UNK",2002,6
"2107","Right","MaleM",2003,4
"2109","Left","UNK",NA,7
"2110","Left","UNK",NA,1
"2112","Right","UNK",NA,1
"2116","Left","UNK",NA,1
"2116","Right","UNK",NA,1
"213","Left","UNK",1990,11
"213","Right","UNK",1990,12
"2130","Right","FemaleJ",NA,2
"2131","Left","UNK",NA,1
"2133","Left","UNK",NA,2
"2135","Left","UNK",NA,1
"2137","Right","UNK",NA,1
"2138","Right","MaleM",NA,6
"2144","Left","UNK",NA,8
"2146","Right","UNK",NA,1
"2147","Right","FemaleJ",NA,9
"2148","Right","UNK",2002,4
"215","Left","UNK",NA,1
"2150","Right","UNK",NA,4
"2153","Left","UNK",NA,2
"2156","Left","UNK",NA,1
"22","Right","UNK",NA,3
"222","Left","UNK",1994,3
"222","Right","UNK",1994,12
"2220","Left","UNK",NA,5
"2220","Right","UNK",NA,4
"2229","Right","UNK",NA,2
"223","Left","UNK",1988,1
"2232","Left","MaleM",NA,1
"2233","Left","MaleM",NA,2
"2235","Right","UNK",NA,3
"2237","Left","UNK",NA,2
"2238","Right","UNK",2003,1
"2241","Left","UNK",NA,1
"2246","Right","UNK",2003,4
"2250","Left","UNK",NA,1
"2252","Left","UNK",NA,1
"2258","Right","FemaleJ",NA,3
"2259","Left","UNK",2003,2
"2259","Right","UNK",2003,2
"2260","Right","UNK",NA,1
"2263","Left","UNK",NA,1
"2308","Right","UNK",NA,1
"235","Left","UNK",1990,17
"235","Right","UNK",1990,11
"237","Right","UNK",NA,40
"238","Right","UNK",NA,9
"24","Left","UNK",NA,2
"240","Left","UNK",NA,15
"242","Left","UNK",1990,4
"242","Right","UNK",1990,1
"244","Left","UNK",NA,2
"245","Right","UNK",NA,1
"25","Left","UNK",NA,18
"250","Right","UNK",NA,3
"251","Left","FemaleJ",1988,74
"251","Right","FemaleJ",1988,80
"26","Left","UNK",NA,4
"265","Right","UNK",NA,1
"266","Right","UNK",NA,2
"267","Left","UNK",NA,7
"267","Right","UNK",NA,32
"269","Left","UNK",1990,5
"269","Right","UNK",1990,15
"270","Left","UNK",NA,1
"271","Left","UNK",NA,5
"271","Right","UNK",NA,9
"273","Left","UNK",NA,14
"275","Right","UNK",NA,1
"277","Right","UNK",NA,9
"278","Left","UNK",NA,1
"279","Left","UNK",NA,1
"28","Left","MaleM",1996,47
"28","Right","MaleM",1996,27
"280","Left","UNK",NA,1
"281","Left","UNK",NA,6
"282","Left","UNK",NA,11
"283","Right","MaleM",NA,7
"285","Left","UNK",NA,5
"289","Left","UNK",NA,8
"29","Left","UNK",NA,3
"290","Left","UNK",1990,38
"290","Right","UNK",1990,14
"291","Left","MaleM",NA,24
"291","Right","MaleM",NA,18
"293","Left","MaleM",1990,59
"293","Right","MaleM",1990,31
"295","Left","UNK",NA,8
"297","Left","UNK",NA,1
"3","Left","MaleM",1988,110
"3","Right","MaleM",1988,113
"3009","Left","MaleM",2006,236
"3009","Right","MaleM",2006,173
"301","Left","UNK",NA,1
"3012","Left","MaleM",NA,94
"3013","Right","UNK",NA,2
"3014","Left","UNK",NA,1
"3016","Left","UNK",2011,33
"3016","Right","UNK",2011,20
"302","Left","UNK",NA,1
"3024","Left","UNK",NA,3
"3025","Left","UNK",NA,31
"303","Left","UNK",1996,21
"303","Right","UNK",1996,16
"3034","Right","UNK",NA,1
"3035","Right","UNK",NA,2
"304","Right","UNK",NA,5
"3046","Right","UNK",NA,2
"305","Left","UNK",NA,3
"305","Right","UNK",NA,5
"3055","Left","UNK",NA,2
"3056","Right","UNK",2006,1
"306","Left","UNK",NA,2
"3065","Left","UNK",NA,3
"3082","Left","UNK",NA,1
"3085","Left","UNK",NA,3
"3086","Left","UNK",2021,45
"3086","Right","UNK",2021,32
"3087","Left","UNK",NA,13
"3087","Right","UNK",NA,15
"3098","Left","MaleM",2006,34
"3098","Right","MaleM",2006,7
"31","Right","UNK",1989,1
"3101","Left","UNK",2006,1
"3103","Right","UNK",NA,2
"3105","Left","UNK",NA,1
"3106","Right","UNK",NA,2
"3108","Left","UNK",NA,2
"313","Left","UNK",NA,4
"314","Left","UNK",NA,30
"314","Right","UNK",NA,8
"315","Right","UNK",NA,9
"316","Left","UNK",1990,18
"316","Right","UNK",1990,14
"317","Left","UNK",1990,31
"317","Right","UNK",1990,15
"318","Right","UNK",NA,10
"32","Left","UNK",1989,12
"32","Right","UNK",1989,3
"320","Right","UNK",NA,7
"322","Left","UNK",NA,16
"328","Right","UNK",NA,3
"329","Left","UNK",NA,7
"33","Left","MaleM",1989,47
"33","Right","MaleM",1989,28
"330","Right","UNK",NA,5
"331","Left","UNK",NA,2
"332","Left","UNK",NA,12
"332","Right","UNK",NA,6
"333","Right","UNK",NA,8
"337","Left","UNK",NA,2
"34","Right","UNK",1989,2
"348","Right","UNK",NA,1
"351","Right","UNK",NA,2
"355","Left","MaleM",NA,10
"356","Right","UNK",NA,1
"360","Left","UNK",NA,1
"361","Left","UNK",NA,1
"363","Right","UNK",NA,4
"37","Left","MaleM",1988,74
"37","Right","MaleM",1988,71
"370","Left","UNK",NA,1
"374","Left","UNK",NA,3
"375","Right","UNK",NA,1
"380","Left","UNK",NA,2
"383","Left","UNK",NA,2
"384","Left","UNK",1990,2
"385","Left","UNK",1990,2
"385","Right","UNK",1990,9
"386","Right","UNK",NA,2
"389","Left","UNK",NA,4
"39","Left","UNK",1989,7
"39","Right","UNK",1989,2
"390","Left","UNK",NA,3
"390","Right","UNK",NA,12
"391","Right","UNK",1990,6
"394","Right","UNK",NA,1
"395","Right","UNK",NA,1
"399","Left","UNK",1990,7
"399","Right","UNK",1990,10
"40","Left","UNK",NA,7
"405","Left","UNK",NA,2
"406","Left","UNK",1990,11
"406","Right","UNK",1990,11
"407","Left","UNK",1990,2
"407","Right","UNK",1990,9
"409","Left","UNK",1996,155
"409","Right","UNK",1996,107
"41","Right","UNK",NA,3
"4103","Right","MaleM",2019,129
